problem,algorithm,variant,nfe,mean_best,median_best
RW26,GSK,SHAP-CF,21537,101030255.14343636,101030255.14343636
RW26,GSK,SHAP-CF,21555,101030255.14343634,101030255.14343634
RW26,GSK,SHAP-CF,21651,101030255.14343631,101030255.14343631
RW26,GSK,SHAP-CF,21738,101030255.1434363,101030255.1434363
RW26,GSK,SHAP-CF,21860,101030390.37148754,101030390.37148754
RW26,GSK,SHAP-CF,22186,101030255.14343628,101030255.14343628
RW26,GSK,SHAP-CF,22242,101031689.87501991,101031689.87501991
RW26,GSK,SHAP-CF,22279,101030255.14343627,101030255.14343627
RW26,GSK,SHAP-CF,22481,101031689.8741518,101031689.8741518
RW26,GSK,SHAP-CF,22601,101031689.87394659,101031689.87394659
RW26,GSK,SHAP-CF,22736,101030255.14343625,101030255.14343625
RW26,GSK,SHAP-CF,22902,101030255.14343624,101030255.14343624
RW26,GSK,SHAP-CF,22999,101030255.14343622,101030255.14343622
RW26,GSK,SHAP-CF,23081,101031689.86614224,101031689.86614224
RW26,GSK,SHAP-CF,23271,101030255.14343621,101030255.14343621
RW26,GSK,SHAP-CF,23364,101030255.14343616,101030255.14343616
RW26,GSK,SHAP-CF,23402,101030332.22850624,101030332.22850624
RW26,GSK,SHAP-CF,23652,101030255.14343615,101030255.14343615
RW26,GSK,SHAP-CF,23773,101030255.14343612,101030255.14343612
RW26,GSK,SHAP-CF,24003,101030255.1434361,101030255.1434361
RW26,GSK,SHAP-CF,24344,101030310.58557042,101030310.58557042
RW26,GSK,SHAP-CF,24415,101030255.14343609,101030255.14343609
RW26,GSK,SHAP-CF,24538,101030307.14652121,101030307.14652121
RW26,GSK,SHAP-CF,24648,101030255.14343607,101030255.14343607
RW26,GSK,SHAP-CF,25177,101030255.14343604,101030255.14343604
RW26,GSK,SHAP-CF,25221,101030255.14343601,101030255.14343601
RW26,GSK,SHAP-CF,25742,101031689.35479103,101031689.35479103
RW26,GSK,SHAP-CF,25918,101030255.143436,101030255.143436
RW26,GSK,SHAP-CF,26082,101030301.40288347,101030301.40288347
RW26,GSK,SHAP-CF,26085,101031689.02567515,101031689.02567515
RW26,GSK,SHAP-CF,26090,101030255.14343598,101030255.14343598
RW26,GSK,SHAP-CF,26118,101030255.14343597,101030255.14343597
RW26,GSK,SHAP-CF,26202,101030255.14343596,101030255.14343596
RW26,GSK,SHAP-CF,26322,101030255.14343594,101030255.14343594
