algorithm,variant,run,nfe,best_fit
GSK,IBREAKDOWN-CF,10,4284,3182.2909066459097
GSK,IBREAKDOWN-CF,10,4773,3177.260056495091
GSK,IBREAKDOWN-CF,10,5173,3171.840402824093
GSK,IBREAKDOWN-CF,10,5813,3171.7178472426494
GSK,IBREAKDOWN-CF,10,5961,3169.7884442803834
GSK,IBREAKDOWN-CF,10,5969,3159.74816833994
GSK,IBREAKDOWN-CF,10,6163,3149.813849624436
GSK,IBREAKDOWN-CF,10,6392,3142.0825334702727
GSK,IBREAKDOWN-CF,10,6514,3137.3098328847473
GSK,IBREAKDOWN-CF,10,6857,3132.2357324761306
GSK,IBREAKDOWN-CF,10,7032,3128.1810717566964
GSK,IBREAKDOWN-CF,10,8430,3127.4315801256257
GSK,IBREAKDOWN-CF,10,8444,3126.453172463588
GSK,IBREAKDOWN-CF,10,8737,3120.3858291248375
GSK,IBREAKDOWN-CF,10,9567,3119.341417376317
GSK,IBREAKDOWN-CF,10,9590,3119.0335904407398
GSK,IBREAKDOWN-CF,11,1,796397.9791490351
GSK,IBREAKDOWN-CF,11,2,408301.9790306582
GSK,IBREAKDOWN-CF,11,5,21571.380702527556
GSK,IBREAKDOWN-CF,11,6,4643.933832011708
GSK,IBREAKDOWN-CF,11,19,3379.9745334940703
GSK,IBREAKDOWN-CF,11,432,3379.248341410069
GSK,IBREAKDOWN-CF,11,601,3264.9363021787503
GSK,IBREAKDOWN-CF,11,1522,3219.8324168170493
GSK,IBREAKDOWN-CF,11,2099,3155.1457944235585
GSK,IBREAKDOWN-CF,11,6562,3154.0738172268666
GSK,IBREAKDOWN-CF,11,7321,3147.751364826981
GSK,IBREAKDOWN-CF,11,8007,3142.6828813647326
GSK,IBREAKDOWN-CF,11,8291,3120.194057138178
GSK,IBREAKDOWN-CF,11,8853,3112.5523617116296
GSK,IBREAKDOWN-CF,11,9715,3111.095739533426
