Dimension,Function,Algorithm,Variant,Runs,Best,Worst,Median,Mean,Std,TargetSuccessRate,MedianFEterm
20,6,PSO,IBREAKDOWN-CF,30,3397.1851408283874,85030.89874769526,28937.74658600769,30994.083217921943,17409.95086639109,0.0,1000000.0
20,6,PSO,LIME-CF,30,3397.1851408283874,80477.56671270043,28869.859212800344,30849.394027854476,16605.90055343154,0.0,1000000.0
20,6,PSO,SHAP-CF,30,3397.1851408283874,71694.31397933341,31084.97581470587,30941.836044210988,15904.59982077373,0.0,1000000.0
20,6,PSO,Standard,30,3397.1851408283874,70673.55368809635,31084.97581470587,30844.590532267208,15591.132362761591,0.0,1000000.0
20,6,SBOA,ACME-CF,30,17211.798985323832,483982.66245661175,174958.9548272808,194202.31024107535,136874.9547927957,0.0,1000000.0
20,6,SBOA,IBREAKDOWN-CF,30,13143.561842062129,1381326.0886142831,140866.90680766085,341923.2501332369,383911.33424201136,0.0,1000000.0
20,6,SBOA,LIME-CF,30,29444.784966691423,1364004.9719259783,183286.2021873593,310628.3655518704,343748.90887053125,0.0,1000000.0
20,6,SBOA,SHAP-CF,30,35585.62426635343,1167808.6333563458,329486.78901096946,433409.7624559827,327000.88097106764,0.0,1000000.0
20,6,SBOA,Standard,30,60995.83618375287,1483364.338787704,717695.198775443,707116.7786517311,411136.06061485066,0.0,1000000.0
20,6,jSO,ACME-CF,30,0.4615819159334933,84096.41307150773,3044.5425903367172,6631.228156724696,15383.027341063113,0.0,1000000.0
20,6,jSO,IBREAKDOWN-CF,30,0.4958055275853894,24559.617717695102,1665.5689635608805,4962.732094545046,6591.545363999177,0.0,1000000.0
20,6,jSO,LIME-CF,30,0.4453447890259667,28075.909213524144,393.7707263399352,3845.705001143734,6919.876322697851,0.0,1000000.0
20,6,jSO,SHAP-CF,30,1.1845395868417654,31076.196920487127,1198.2347729030694,4875.8823788953005,7224.880134781291,0.0,1000000.0
20,6,jSO,Standard,30,37267.37527229526,163706.44807367033,64104.47348666577,69908.8039766457,26214.67879856287,0.0,1000000.0
20,7,BA,ACME-CF,30,45.87296521659209,150.46446420034363,62.09197130714506,67.76299110784028,22.26268300801386,0.0,1000000.0
20,7,BA,IBREAKDOWN-CF,30,54.42874199780772,129.15237817758498,70.67848052304566,73.7906651779236,16.587451613879278,0.0,1000000.0
20,7,BA,LIME-CF,30,49.14152272727324,165.98216320282063,70.20205906379829,76.05173066522522,23.259639542926223,0.0,1000000.0
20,7,BA,SHAP-CF,30,47.60899114534118,155.89207418954584,69.46475090038439,74.62440249170643,21.2984765263879,0.0,1000000.0
20,7,BA,Standard,30,51.5676654790459,148.8383847634027,69.47124206533613,73.05358451118946,20.115885588174763,0.0,1000000.0
20,7,GSK,ACME-CF,30,20.147085468945303,26.48543302528219,22.494248921470557,22.60278640434358,1.8641613284560978,0.0,1000000.0
20,7,GSK,IBREAKDOWN-CF,30,20.1920273504295,25.6986184942848,21.75116849509527,22.017186637188843,1.371166386532589,0.0,1000000.0
20,7,GSK,LIME-CF,30,23.24178622936506,27.338803105498755,25.41369437436242,25.452122763661276,1.2176009206608842,0.0,1000000.0
20,7,GSK,SHAP-CF,30,20.08394594591209,25.787087663410375,21.524127977417038,22.22560326218176,1.684956423297718,0.0,1000000.0
20,7,GSK,Standard,30,20.040022950724502,21.964427209489713,20.668299915386,20.751916319828464,0.37526326080126843,0.0,1000000.0
20,7,GWO,ACME-CF,30,22.202422486250953,66.25169545647532,30.840867098052513,33.78731828217008,9.622688709782532,0.0,1000000.0
20,7,GWO,IBREAKDOWN-CF,30,24.85391803099401,50.80324442200117,36.981854305119214,35.89847751606472,8.0773449938708,0.0,1000000.0
20,7,GWO,LIME-CF,30,24.49085507009204,56.48491783102645,33.9871792045725,35.59060501812186,9.17692494722705,0.0,1000000.0
20,7,GWO,SHAP-CF,30,22.6294320279776,67.04791098920305,28.542985544603425,34.353207726233315,11.915564393550811,0.0,1000000.0
20,7,GWO,Standard,30,25.528379907838143,61.139295519855295,34.31339300195714,36.02249216978574,9.52986400786721,0.0,1000000.0
20,7,L-SHADE,ACME-CF,30,22.38968589492083,35.81696701545184,27.615221361995054,27.235018993332634,3.8690712830145886,0.0,1000000.0
20,7,L-SHADE,IBREAKDOWN-CF,30,22.451968689305204,34.142076875515386,28.39553333203378,28.518091339452333,3.358126662951274,0.0,1000000.0
20,7,L-SHADE,LIME-CF,30,21.236478384869542,39.80594773502981,27.944201345083457,27.74894871490773,4.393224427918599,0.0,1000000.0
20,7,L-SHADE,SHAP-CF,30,22.81669108099527,35.549642451193904,27.240208606017063,27.609331208641645,3.707257681335561,0.0,1000000.0
20,7,L-SHADE,Standard,30,28.360491020316204,38.77925964015708,33.52854606117546,33.552107217722686,2.497857236581223,0.0,1000000.0
20,7,OPA,ACME-CF,30,31.51643011903343,118.58804186222552,68.68808460249579,72.5340678057531,23.53823747571039,0.0,1000000.0
20,7,OPA,IBREAKDOWN-CF,30,30.49167166729717,134.02256766712935,65.89544761306865,71.85889870754552,29.130759297255107,0.0,1000000.0
20,7,OPA,LIME-CF,30,26.475275917849785,118.58199997628162,72.05644901723485,70.50628981565715,25.212328022578195,0.0,1000000.0
20,7,OPA,SHAP-CF,30,34.10277262047339,134.02256766712935,73.89233832192144,75.81796460460995,25.70582884544822,0.0,1000000.0
20,7,OPA,Standard,30,34.102772620499536,189.21041770570855,69.53810384200483,77.01786838849148,30.690701474735935,0.0,1000000.0
20,7,PSO,ACME-CF,30,20.208251717864417,73.75543641469721,23.19749911580459,25.79771986391848,9.590695011600006,0.0,1000000.0
20,7,PSO,IBREAKDOWN-CF,30,20.20827391216676,73.75543716603488,23.1847696660368,25.924658789431835,9.636145364009037,0.0,1000000.0
20,7,PSO,LIME-CF,30,20.20825172097489,73.20734739502359,22.900435849356768,25.573987339627926,9.460488283997336,0.0,1000000.0
20,7,PSO,SHAP-CF,30,20.20826728999305,73.75543618054417,22.93202421490662,25.918253519747175,9.641378778987935,0.0,1000000.0
20,7,PSO,Standard,30,20.207635384828336,72.39811778993317,22.945806406814086,25.758833563204877,9.404709618601567,0.0,1000000.0
20,7,SBOA,ACME-CF,30,39.61356361635558,222.58455988370545,82.60556287530176,92.62063229173458,43.45743304968244,0.0,1000000.0
20,7,SBOA,IBREAKDOWN-CF,30,36.68784340428715,199.60005055949296,86.55451372208859,96.48928208409957,38.991355095459596,0.0,1000000.0
20,7,SBOA,LIME-CF,30,29.669629742532607,199.06658962182837,88.47639961638401,95.86210302896515,37.85377672125524,0.0,1000000.0
20,7,SBOA,SHAP-CF,30,49.66979705019685,235.4710804594397,86.76630113157967,96.91706002159847,39.41865320116875,0.0,1000000.0
20,7,SBOA,Standard,30,49.3701870625091,149.41515159197797,89.10111948947542,89.99486798172516,30.38526777601292,0.0,1000000.0
20,7,jSO,ACME-CF,30,20.978247618993464,86.48758884324616,25.753011988327103,32.85471935222094,14.610799549876228,0.0,1000000.0
